symbol	location	cluster	Degree
CXCL5	PROTEIN	1	1852
CXCL6	PROTEIN	1	1776
CXCL8	PROTEIN	1	1767
CXCL9	PROTEIN	1	1905
DAB2	PROTEIN	1	1972
DAG1	PROTEIN	1	1887
DARS	PROTEIN	1	1859
DBI	PROTEIN	1	1941
DBNL	PROTEIN	1	1926
DCBLD2	PROTEIN	1	1914
DCN	PROTEIN	1	1894
DCTN1	PROTEIN	1	1900
DCTPP1	PROTEIN	1	1914
DDAH1	PROTEIN	1	1956
DDC	PROTEIN	1	1755
DDR1	PROTEIN	1	1884
DDX58	PROTEIN	1	1839
DECR1	PROTEIN	1	1962
DEFA1_DEFA1B	PROTEIN	1	1911
DEFB4A_DEFB4B	PROTEIN	1	1812
DFFA	PROTEIN	1	1877
DKK1	PROTEIN	1	1864
DKK3	PROTEIN	1	1839
DKK4	PROTEIN	1	1982
DKKL1	PROTEIN	0	1824
DLK1	PROTEIN	1	1823
DLL1	PROTEIN	1	1955
DNAJA2	PROTEIN	1	1980
DNAJB1	PROTEIN	1	1824
DNER	PROTEIN	1	1815
DNMBP	PROTEIN	1	1999
DNPH1	PROTEIN	1	1751
DPEP1	PROTEIN	1	1724
DPEP2	PROTEIN	1	1811
DPP10	PROTEIN	0	1917
DPP4	PROTEIN	1	1846
DPP6	PROTEIN	1	1886
DPT	PROTEIN	1	1898
DPY30	PROTEIN	1	1963
DRAXIN	PROTEIN	1	1924
DSC2	PROTEIN	1	1907
DSG2	PROTEIN	1	1920
DSG3	PROTEIN	1	1937
DSG4	PROTEIN	1	1891
DTX3	PROTEIN	1	1952
EBAG9	PROTEIN	1	1941
EBI3_IL27	PROTEIN	1	1861
ECE1	PROTEIN	1	1898
EDA2R	PROTEIN	1	1897
EDAR	PROTEIN	1	1952
EDIL3	PROTEIN	1	1860
EFEMP1	PROTEIN	1	1955
EFNA1	PROTEIN	1	1961
EFNA4	PROTEIN	1	1984
EGF	PROTEIN	1	1975
EGFL7	PROTEIN	1	1919
EGFR	PROTEIN	1	1872
EGLN1	PROTEIN	1	1874
EIF4B	PROTEIN	1	1856
EIF4EBP1	PROTEIN	1	1804
EIF4G1	PROTEIN	1	1955
ELOA	PROTEIN	1	1825
ENAH	PROTEIN	1	1908
ENG	PROTEIN	1	1853
ENO1	PROTEIN	1	1886
ENO2	PROTEIN	1	1874
ENPP2	PROTEIN	1	1857
ENPP5	PROTEIN	1	1792
ENPP7	PROTEIN	1	1870
ENTPD2	PROTEIN	1	1876
ENTPD5	PROTEIN	1	1839
ENTPD6	PROTEIN	1	1856
EPCAM	PROTEIN	1	1810
EPHA1	PROTEIN	1	1966
EPHA2	PROTEIN	1	1945
EPHB4	PROTEIN	1	1940
EPHB6	PROTEIN	1	1967
EPS8L2	PROTEIN	1	2012
ERBB2	PROTEIN	1	1857
ERBB3	PROTEIN	1	1875
ERBB4	PROTEIN	1	1904
ERP44	PROTEIN	1	1952
ESAM	PROTEIN	1	1934
ESM1	PROTEIN	1	1812
F11R	PROTEIN	1	1966
F2R	PROTEIN	1	1916
F3	PROTEIN	1	1906
F7	PROTEIN	1	1938
F9	PROTEIN	1	1977
